taxonID,acceptedTaxonID,scientificName,scientificNameAuthorship,taxonRank,nameAccordingToID,nameAccordingToTitle,order,family,subfamily,tribe,genus,subgenus,speciesGroup,specificEpithet,infraspecificEpithet
ATELON,BLASPH,Atelothrus longicollis,Sharp,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,longicollis,NA
ATELON1,BLALON2,Atelothrus longulus,Sharp,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,longulus,NA
ATEMET,BLAMET2,Atelothrus metromenoides,Perkins,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,metromenoides,NA
ATEPLA,BLAPLA2,Atelothrus platynoides flavipes,Sharp,subspecies,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,platynoides,flavipes
ATEPLA1,BLAPLA2,Atelothrus platynoides platynoides,Sharp,subspecies,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,platynoides,platynoides
ATEPOL,BLAERR,Atelothrus politus,Sharp,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,politus,NA
ATESTE,BLAINS2,Atelothrus stenopus,Sharp,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,stenopus,NA
ATETRA,BLATRA,Atelothrus transiens,Sharp,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atelothrus,NA,NA,transiens,NA
ATHPAG,ATHPAG,Athrostictus paganus,"Dejean, 1831",species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,NA,NA,Athrostictus,NA,NA,paganus,NA
ATHPUN2,ATHPUN2,Athrostictus punctatulus,Putzeys,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,Harpalinae,Harpalini,Athrostictus,NA,NA,punctatulus,NA
ATHSP,ATHSP,Athrostictus sp.,Bates,genus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Harpalini,Athrostictus,NA,NA,sp.,NA
ATRKOE,BLAKOE,Atrachycnemis koebelei,Sharp,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atrachycnemis,NA,NA,koebelei,NA
ATRPER,BLAPER1,Atrachycnemis perkinsi,Sharp,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atrachycnemis,NA,NA,perkinsi,NA
ATRPUB,ATRPUB,Atranus pubescens,Dejean,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Atranini,Atranus,NA,NA,pubescens,NA
ATRSHA,BLASHA,Atrachycnemis sharpi,Blackburn,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Atrachycnemis,NA,NA,sharpi,NA
ATRSP,ATRSP,Atranus sp.,LeConte,genus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Atranini,Atranus,NA,NA,sp.,NA
ATRSP1,ATRSP1,Atranini sp.,Horn,tribe,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Atranini,NA,NA,NA,sp.,NA
AXIBIP,AXIBIP,Axinopalpus biplagiatus,Dejean,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,biplagiatus,NA
AXICAL,AXIBIP,Axinopalpus californicus,Motschulsky,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Axinopalpus,NA,NA,californicus,NA
AXICOL,AXIBIP,Axinopalpus coloradensis,Casey,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Axinopalpus,NA,NA,coloradensis,NA
AXIDEM,AXIBIP,Axinopalpus demissus,Casey,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Axinopalpus,NA,NA,demissus,NA
AXIDEN,AXIDEN,Axinopalpus denticulatus,Hatch,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,denticulatus,NA
AXIFUS,AXIFUS,Axinopalpus fusciceps,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,fusciceps,NA
AXIHAB,AXIBIP,Axinopalpus habilis,Casey,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Axinopalpus,NA,NA,habilis,NA
AXIILL,AXIILL,Axinopalpus illectus,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,illectus,NA
AXIPRA,AXIPRA,Axinopalpus pratti,Hatch,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,pratti,NA
AXISP,AXISP,Axinopalpus sp.,LeConte,genus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,sp.,NA
AXIUTA,AXIUTA,Axinopalpus utahensis,Tanner,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,utahensis,NA
AXIVIT,AXIVIT,Axinopalpus vittatus,Hatch,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Lebiini,Axinopalpus,NA,NA,vittatus,NA
AZTSCH,AZTSCH,Aztecarpalus schaefferi,Ball,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Aztecarpalus,NA,NA,schaefferi,NA
AZTSP,AZTSP,Aztecarpalus sp.,Ball,genus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Harpalini,Aztecarpalus,NA,NA,sp.,NA
BADELE,BADELE,Badister elegans,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,elegans,NA
BADFER,BADFER,Badister ferrugineus,Dejean,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,ferrugineus,NA
BADFLA,BADFLA1,Badister flavipes laticeps,NA,subspecies,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Badister,NA,NA,flavipes,laticeps
BADFLA1,BADFLA1,Badister flavipes flavipes,LeConte,subspecies,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,flavipes,flavipes
BADFLA2,BADFLA2,Badister flavipes,LeConte,species,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,flavipes,NA
BADGRA,BADGRA,Badister grandiceps,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Baudia,NA,grandiceps,NA
BADMAC,BADMAC,Badister maculatus,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,maculatus,NA
BADMIC,BADMIC,Badister micans,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Baudia,NA,micans,NA
BADNEO,BADNEO,Badister neopulchellus,Lindroth,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,neopulchellus,NA
BADNOT,BADNOT,Badister notatus,Haldeman,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,notatus,NA
BADOBT,BADOBT,Badister obtusus,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,obtusus,NA
BADPAR,BADPAR,Badister parviceps,Ball,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Baudia,NA,parviceps,NA
BADPUL,BADPUL,Badister pulchellus,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,pulchellus,NA
BADREF,BADREF,Badister reflexus,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Baudia,NA,reflexus,NA
BADSP,BADSP,Badister (Badister) sp.,Clairville,subgenus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,sp.,NA
BADSP1,BADSP1,Badister (Baudia) sp.,Ragusa,subgenus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Baudia,NA,sp.,NA
BADSP2,BADSP2,Badister sp.,Clairville,genus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,NA,NA,sp.,NA
BADSUB,BADSUB,Badister submarinus,Motschulsky,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Baudia,NA,submarinus,NA
BADTRA,BADTRA,Badister transversus,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Baudia,NA,transversus,NA
BADVAN,BADVAN,Badister vandykei,Ball,species,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Licinini,Badister,Badister,NA,vandykei,NA
BALHAK,BALHAK,Blackburnia hakeakapa,Zimmerman and Liebherr,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Blackburnia,NA,NA,hakeakapa,NA
BAREST,BAREST,Barylaus estriata,Darlington,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,NA,NA,Barylaus,NA,NA,estriata,NA
BARINC,BLAINC,Barypristus incendiarius,Blackburn,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Barypristus,NA,NA,incendiarius,NA
BARRUP,BLARUP,Barypristus rupicola,Blackburn,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Barypristus,NA,NA,rupicola,NA
BARSHA,BLAOCT,Baryneus sharpi,Blackburn,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Baryneus,NA,NA,sharpi,NA
BEMACT1,BEMACT1,Bembidion acticola,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Notaphus,NA,acticola,NA
BEMACT2,BEMACT2,Bembidion actuosum,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Peryphus,NA,actuosum,NA
BEMACU,BEMACU,Bembidion acutifrons,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Trepanedoris,NA,acutifrons,NA
BEMADD,BEMADD,Bembidion adductum,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Bembidion,NA,adductum,NA
BEMADM,BEMADM,Bembidion admirandum,Sharp,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,NA,NA,admirandum,NA
BEMADV,BEMADV,Bembidion advena,Sharp,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,NA,NA,advena,NA
BEMAEN1,BEMAEN1,Bembidion aeneicolle,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Notaphus,NA,aeneicolle,NA
BEMAEN2,BEMAEN2,Bembidion aenulum,Hayward,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Odontium,NA,aenulum,NA
BEMAFF,BEMAFF,Bembidion affine,Say,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Furcacampa,NA,affine,NA
BEMALA,BEMALA,Bembidion alaskense,Lindroth,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Bracteon,NA,alaskense,NA
BEMALP,BEMALP,Bembidion alpineanum,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Hirmoplataphus,NA,alpineanum,NA
BEMAME,BEMAME,Bembidion americanum,Dejean,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Ochthedromus,NA,americanum,NA
BEMAMP,BEMAMP,Bembidion ampliceps,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Trepanedoris,NA,ampliceps,NA
BEMAMP1,BEMAMP1,Bembidion ampliatum,NA,species,https://doi.org/10.1093/zoolinnean/zlx076,"Sproul, J.S. and D.R. Maddison. 2017. Cryptic species in the mountaintops: species delimitation and taxonomy of the Bembidion breve species group (Coleoptera: Carabidae) aided by genomic architecture of a century-old type specimen. Zool J Linn Soc. zlx076",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,NA,NA,ampliatum,NA
BEMANG,BEMANG,Bembidion anguliferum,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Trepanedoris,NA,anguliferum,NA
BEMANT,BEMANT,Bembidion antiquum,Dejean,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Pseudoperyphus,NA,antiquum,NA
BEMAPP,BEMAPP,Bembidion approximatum,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Bembidion,Notaphus,NA,approximatum,NA
