"site","thresh","trapAvg","t.thresh","y.thresh","field_domain_id","field_site_name","field_site_type","field_site_subtype","field_colocated_site","field_site_host","field_site_url","field_nonneon_research_allowed","field_latitude","field_longitude","field_geodetic_datum","field_utm_northing","field_utm_easting","field_utm_zone","field_site_county","field_site_state","field_site_country","field_mean_evelation_m","field_minimum_elevation_m","field_maximum_elevation_m","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_dominant_wind_direction","field_mean_canopy_height_m","field_dominant_nlcd_classes","field_dominant_plant_species","field_usgs_huc","field_watership_name","field_watership_size_km2","field_lake_depth_mean_m","field_lake_depth_max_m","field_tower_height_m","field_megapit_soil_family","field_soil_subgroup","field_avg_number_of_green_days","field_avg_green_increase_doy","field_avg_green_max_doy","field_avg_green_decrease_doy","field_avg_green_min_doy","field_phenocams","field_number_tower_levels","domainName","turnover","years"
"KONA",70.7003637770898,269.166666666667,2100.61462443642,7.80414101957804,"D06","Konza Prairie Agroecosystem NEON","Gradient Terrestrial","","KING","Kansas State University","https://kpbs.konza.k-state.edu/scientist-information/permits.html","Yes",39.110446,-96.612935,"WGS84",4331745.28,706389.4538,"14N","Riley","KS","US",323,312,359,"12.7°C",850,"SSW",NA,"Cultivated Crops",NA,"","",NA,NA,NA,8,"Fine - smectitic - mesic Pachic Vertic Argiudolls","Pachic Vertic Argiudolls",210,90,160,210,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00042/",4,"Prairie Peninsula",0.472315179335802,5
"KONZ",190.862000206101,346.571428571429,21029.5303554208,60.6787767881061,"D06","Konza Prairie Biological Station NEON","Core Terrestrial","","","The Nature Conservancy, Kansas State University","https://kpbs.konza.k-state.edu/scientist-information/permits.html","Yes",39.100774,-96.563075,"WGS84",4330786.53,710729.798,"14N","Riley","KS","US",414,333,443,"12.4°C",870,"SSW",1.5,"Deciduous Forest|Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Fine - smectitic - mesic Pachic Udertic Argiustolls","Pachic Udertic Argiustolls",210,90,160,210,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00042/",4,"Prairie Peninsula",0.541307046379321,6
"LAJA",26.9978102189781,352.285714285714,5106.80851020995,14.4962123160866,"D04","Lajas Experimental Station NEON","Gradient Terrestrial","","","University of Puerto Rico","","Limited",18.021261,-67.076889,"WGS84",1993593.87,703591.1281,"19N","Lajas Municipio","PR","US",16,13,41,"25.0°C",830,"SSE",0.4,"Cultivated Crops|Grassland/Herbaceous|Pasture/Hay",NA,"","",NA,NA,NA,8,"Fine - mixed - superactive - isohyperthermic Sodic Haplusterts","Sodic Haplusterts",365,NA,NA,NA,"","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00042/",4,"Atlantic Neotropical",0.547644335511983,6
"LENO",57.657257392753,343,4181.95375840529,12.192285009928,"D08","Lenoir Landing NEON","Gradient Terrestrial","","TOMB","US Fish and Wildlife Service|US Army Corps of Engineers","https://www.fws.gov/refuge/choctaw/|https://www.sam.usace.army.mil/","Yes|Limited",31.853861,-88.161181,"WGS84",3524827.17,390139.6172,"16N","Choctaw","AL","US",13,NA,NA,"18.1°C",1386,"N",35,"Deciduous Forest|Woody Wetlands",NA,"","",NA,NA,NA,47,"Fine - mixed - active - acid - thermic Vertic Epiaquepts","Vertic Epiaquepts",265,70,145,200,"335","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00042/",6,"Ozarks Complex",0.510478375443615,5
"MLBS",58.6021008403362,218.166666666667,2853.72243871,13.0804695433614,"D07","Mountain Lake Biological Station NEON","Gradient Terrestrial","","","George Washington and Jefferson National Forest|University of Virginia","https://www.fs.usda.gov/gwj/|https://mlbs.virginia.edu/resapp","Limited|Yes",37.378314,-80.524847,"WGS84",4136943.44,542067.64,"17N","Giles","VA","US",1170,752,1320,"8.8°C",1227,"WNW",18,"Deciduous Forest",NA,"","",NA,NA,NA,29,"Coarse-loamy - siliceous - semiactive - frigid Fluvaquents","Fluvaquents",200,110,160,220,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00042/",6,"Central Plains",0.547034784825483,5
"MOAB",23.5485537986888,324.125,3745.48513162893,11.5556810848559,"D13","Moab NEON","Gradient Terrestrial","","","Bureau of Land Management","https://www.blm.gov/office/moab-field-office","Yes",38.248283,-109.38827,"WGS84",4234596.51,641031.4708,"12N","San Juan","UT","US",1799,1722,2039,"10.1°C",319,"SSW",0.2,"Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - superactive - mesic Ustic Haplocalcids","Ustic Haplocalcids",215,85,165,225,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D13.MOAB.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D13.MOAB.DP1.00042/",4,"Pacific Southwest",0.62493596628935,7
"NIWO",47.0842443729904,155.5,2180.7365207583,14.0240290724007,"D13","Niwot Ridge NEON","Core Terrestrial","","COMO","US Forest Service, University of Colorado-Boulder","","Yes",40.05425,-105.58237,"WGS84",4433940.92,450328.2848,"13N","Boulder","CO","US",3490,2975,3583,"0.3°C",1005,"WNW",0.2,"Evergreen Forest|Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - superactive Typic Haplocryolls","Typic Haplocryolls",130,140,190,220,"270","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00042/",4,"Pacific Southwest",0.465902834008097,5
"NOGP",133.526899038461,297.142857142857,6725.30277806553,22.6332305031051,"D09","Northern Great Plains Research Laboratory NEON","Gradient Terrestrial","","","USDA Agricultural Research Service","https://www.ars.usda.gov/plains-area/mandan-nd/ngprl/","Yes",46.76972,-100.91535,"WGS84",5181355.71,353761.6032,"14N","Morton","ND","US",589,517,592,"5.9°C",457,"NNE",0.4,"Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Fine-loamy - mixed - superactive - frigid Typic Argiustolls","Typic Argiustolls",175,115,170,200,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.NOGP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.NOGP.DP1.00042/",4,"Northern Plains",0.512718060387185,6
"OAES",116.532747148289,450.857142857143,16586.9852639402,36.7898912698294,"D11","Marvin Klemme Range Research Station NEON","Gradient Terrestrial","","","Oklahoma State University","http://oaes.okstate.edu/","Limited",35.410599,-99.058779,"WGS84",3918579.07,494662.2504,"14N","Washita","OK","US",519,487,531,"15.5°C",779,"SE",1,"Grassland/Herbaceous|Shrub/Scrub",NA,"","",NA,NA,NA,8,"Loamy - mixed - active - thermic Lithic Haplustepts","Lithic Haplustepts",240,70,135,165,"225|310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D11.OAES.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D11.OAES.DP1.00042/",4,"Southern Rockies/Colorado Plateau",0.652377180409217,6
"ONAQ",37.115233118971,266.571428571429,8584.08517359894,32.2018200510142,"D15","Onaqui NEON","Core Terrestrial","","","Bureau of Land Management","https://www.blm.gov/office/salt-lake-field-office","Limited",40.177599,-112.45245,"WGS84",4448479.61,376339.6859,"12N","Tooele","UT","US",1662,1599,2061,"9.0°C",288,"SW",1.2,"Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,8,"Fine-loamy - mixed - superactive - mesic Xeric Haplocalcids","Xeric Haplocalcids",205,75,130,170,"280","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00042/",4,"Great Basin",0.678952991452991,6
